Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Bar Corallini,Madison,27,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Monty's Blue Plate Diner,Madison,54,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Market Street Diner,Sun Prairie,45,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Craftsman Table and Tap,Middleton,49,20200326,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Bassett Street Brunch Club,Madison,62,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Great Lakes Services LLC,Madison,24,20200327,WR,4/3/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Great Lakes Services LLC,Madison,69,20200327,WR,4/2/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
The Coopers Tavern,Madison,70,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Hubbard Avenue Diner,Middleton,65,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Cento Restaurant LLC,Madison,78,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Everly and Miko Poke,Madison,68,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Fresco Restaurant,Madison,43,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Spectra Food Services and Hospitality,Green Bay,49,20200329,CL,3/26/2020,Food Service Contractors,Brown,Bay Area
Paper Source,Brookfield,9,20200330,WR,3/29/2020,Office Supplies & Stationery Stores,Waukesha,WOW
Paper Source,Glendale,9,20200330,WR,3/29/2020,Office Supplies & Stationery Stores,Milwaukee,Milwaukee
Paper Source,Madison,13,20200330,WR,3/29/2020,Office Supplies & Stationery Stores,Dane,South Central
Great Lakes Services,Baraboo,247,20200330,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Sauk,South Central
"Schulte Hospitality Group, Inc.",Milwaukee,30,20200330,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Collegiate Hotel Group,Madison,63,20200330,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
"Schwaab, Inc.",Brookfield,42,20200330,WR,3/24/2020,Office Supplies (Exc Paper) Mfg,Waukesha,WOW
Rexnord Industries LLC,Grafton,140,20200330,WR,6/5/2020,Conveyor & Conveying Equip Mfg,Ozaukee,WOW
"Stateline Boys and Girls Clubs, Inc",Beloit,28,20200330,WR,3/30/2020,Civic & Social Organizations,Rock,Southwest
Reynolds Machine Company,New Berlin,36,20200330,WR,3/24/2020,Motor Vehicle Power Train Components Mfg,Waukesha,WOW
Data Dimensions  ,Janesville,260,20200330,CL,5/29/2020,Description Data Processing Hosting & Related Services,Rock,Southwest
Stateline Family YMCA,Beloit,200,20200330,WR,3/16/2020,Civic & Social Organizations,Rock,Southwest
"SSA Group, LLC  ",Milwaukee,319,20200330,WR,3/29/2020,Limited-service restaurants,Milwaukee,Milwaukee
Delavan Lake Resort,Delavan,11,20200330,CL,3/16/2020,All Other Traveler Accommodation,Walworth,Southeast
Lake Lawn Resort,Delevan,305,20200330,CL,3/16/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
YMCA of the Northwoods,Rhinelander,109,20200331,CL,3/17/2020,Civic & Social Organizations,Oneida,North Central
Cinemark USA Inc.,Kenosha,51,20200331,CL,3/26/2020,Motion Picture Theaters exc Drive Ins,Kenosha,Southeast
California Pizza Kitchen,Glendale,36,20200331,CL,3/22/2020,Full-service restaurants,Milwaukee,Milwaukee
FeraDyne Outdoors,Superior,226,20200331,CL,3/25/2020,Sporting & Athletic Goods Mfg,Douglas,Northwest
Stevens Point YMCA,Stevens Point,324,20200331,CL,3/18/2020,Civic & Social Organizations,Portage,North Central
AJLS Enterprises Inc.,Madison,56,20200402,WR,4/3/2020,Ice Cream & Frozen Dessert Mfg,Dane,South Central
PlayMonster LLC,Beloit,31,20200402,WR,4/6/2020,"Doll, Toy, & Game Mfg",Rock,Southwest
Bartaco,Madison,67,20200402,CL,3/21/2020,Full-service restaurants,Dane,South Central
"Chandler Exhibits, Inc.",Hudson,34,20200402,CL,3/25/2020,Other Specialized Design Services,St. Croix,West Central
Bernick's,"Dresser, Superior",25,20200403,WR,4/1/2020,Other Grocery Product Merch Whls,"Polk, Douglas","West Central, Northwest"
Caleres Inc,Port Washington,213,20200403,CL,3/20/2020,Footwear Merch Whls,Ozaukee,WOW
Caleres/Woodlore Manufacturing,Port Washington,28,20200403,CL,3/20/2020,Misc Wood Product Mfg,Ozaukee,WOW
Gray & Associates,New Berlin,28,20200403,WR,4/3/2020,Offices of Lawyers,Waukesha,WOW
La Crosse Area Family YMCA  ,"La Crosse, Onalaska",562,20200403,WR,3/18/2020,Civic & Social Organizations,La Crosse,Western
eImprovement LLC,Pleasant Prairie,60,20200403,CL,4/30/2020,Electronic Shopping and Mail-Order Houses,Kenosha,Southeast
PC/Nametag Inc.,Verona,46,20200403,WR,4/6/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
Spectra Food Services and Hospitality,Baraboo,172,20200406,CL,3/26/2020,Food Service Contractors,Sauk,South Central
Chapter 2 Inc.,Lake Mills,26,20200406,WR,4/3/2020,Special Tool Die Jig & Fixture Mfg,Jefferson,South Central
"Van's Supply & Equipment, Inc.",Green Bay,37,20200406,WR,3/29/2020,New Car Dealers,Brown,Bay Area
YMCA of Greater Waukesha County,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1100,20200406,CL,3/17/2020,Civic & Social Organizations,"Waukesha, Milwaukee","WOW, Milwaukee"
YMCA of Dodge County,Beaver Dam,89,20200406,WR,3/16/2020,Civic & Social Organizations,Dodge,South Central
Uncle Julio's,Brookfield,93,20200406,CL,3/19/2020,Full-service restaurants,Waukesha,WOW
Woodson YMCA,Wausau,300,20200406,CL,3/17/2020,Fitness & Recreational Sports Centers,Marathon,North Central
Geneva Lakes Family YMCA,Lake Geneva,117,20200406,WR,3/17/2020,Civic & Social Organizations,Walworth,Southeast
"Hobby Lobby Stores, Inc.","Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",639,20200406,CL,3/25/2020,Hobby Toy & Game Stores,"Barron, Brown, Dane, Eau Claire, Kenosha, La Crosse, Manitowoc, Marathon, Milwaukee, Oneida, Outagamie, Racine, Rock, Washington, Winnebago","Bay Area, Fox Valley, Milwaukee, North Central, South Central, Southeast, Southwest, WOW, West Central, Western"
Greater Green Bay YMCA,"Green Bay, Brussels, Suring",829,20200406,WR,3/15/2020,Civic & Social Organizations,"Brown, Oconto, Door",Bay Area
Manitowoc-Two Rivers YMCA,Manitowoc,219,20200407,CL,4/6/2020,Civic & Social Organizations,Manitowoc,Bay Area
Advanced Pain Management,Greenfield,50,20200407,WR,5/1/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
YMCA of the Chippewa Valley,"Chippewa Falls, Eau Claire, New Auburn",557,20200407,CL,3/19/2020,Civic & Social Organizations,"Chippewa, Eau Claire",West Central
Pace Industries,Grafton,381,20200408,WR,3/20/2020,Aluminum Die Casting Foundries,Ozaukee,WOW
Abercrombie & Fitch,"Appleton, La Crosse, Wauwatosa",123,20200408,CL,4/12/2020,Family Clothing Stores,"La Crosse, Milwaukee, Outagamie","Bay Area, Milwaukee, Western"
Prospect International Airport Services Corp.,Milwaukee,48,20200408,WR,4/22/2020,Other Airport Operations,Milwaukee,Milwaukee
American Greetings,Statewide,153,20200408,WR,3/23/2020,All Other Support Services,Statewide,Statewide
Tetra PAK Processing Equipment Inc.,Windsor,39,20200409,CL,7/3/2020,Food Product Machinery Mfg,Dane,South Central
Meetings and Incentives Worldwide Inc,Caledonia,15,20200409,WR,3/5/2020,Convention & Trade Show Organizers,Racine,Southeast
Server Products Inc,Richfield,53,20200409,WR,3/30/2020,Other Com & Service Ind Machinery Mfg,Washington,WOW
Glacial Community YMCA,"Oconomowoc, Watertown",542,20200409,WR,3/16/2020,Civic & Social Organizations,"Waukesha, Dodge","WOW, South Central"
Patientpop,Menasha,1,20200410,WR,3/27/2020,Marketing Consulting Services,Winnebago,Fox Valley
"Hooters of America, LLC","Madison, Brookfield",61,20200410,WR,3/16/2020,Full-service restaurants,"Dane, Waukesha","South Central, WOW"
Scholastic,Milwaukee,53,20200413,WR,3/18/2020,Book & Periodical Merch Whls,Milwaukee,Milwaukee
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,20200413,WR,4/14/2020,Other Elect Equip Repair,Waukesha,WOW
Nordstrom Inc.,"Madison, Wauwatosa",218,20200414,WR,4/5/2020,Deparment Stores,"Dane, Milwaukee","South Central, Milwaukee"
YMCA of Northern Rock County,"Janesville, Milton",142,20200414,WR,3/27/2020,Civic & Social Organizations,Rock,Southwest
"Bars & Recreation, Inc.",Milwaukeee,38,20200414,WR,3/30/2020,Drinking Places Alcoholic Beverages,Milwaukee,Milwaukee
LSC Communications,Baraboo,393,20200415,WR,4/20/2020,Commercial Gravure Printing,Sauk,South Central
Ashley Furniture Industries Inc.,Whitehall,70,20200416,WR,4/16/2020,Upholstered Household Furn Mfg,Trempealeau,Western
Milwaukee Center for Independence,Milwaukee,128,20200417,WR,4/30/2020,Other Individual & Family Services,Milwaukee,Milwaukee
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,20200417,WR,4/12/2020,Shoe Stores,"Brown, Dane, Jefferson, Milwaukee, Racine, Rock","Bay Area, Milwaukee, South Central, Southeast, Southwest"
The Finish Line Macy's,Wauwatosa,3,20200417,WR,4/2/2020,Shoe Stores,Milwaukee,Milwaukee
Baker Manufacturing Company LLC,Evansville,49,20200417,WR,4/20/2020,Other Com & Service Ind Machinery Mfg,Rock,Southwest
Goodwill,"Ashland, Superior",20,20200420,WR,4/16/2020,Used Merchandise Stores,"Ashland, Douglas",Northwest
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,20200420,WR,3/16/2020,Civic & Social Organizations,"Outagamie, Winnebago","Bay Area, Fox Valley"
Emmi Roth,Seymour,32,20200421,WR,4/13/2020,Cheese Mfg,Outagamie,Bay Area
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,20200421,WR,5/1/2020,Consumer Lending,"Waushara, Columbia, Walworth, Milwaukee, Sheboygan, Dane, Outagamie, Fond du Lac, Rock, Washington, Brown, Eau Claire, Marathon, Marinette, St. Croix, Racine, Shawano","Southeast, Milwaukee, WOW, Fox Valley, Bay Area, North Central, Northwest, West Central, South Central, Southwest"
Hutchinson Technology Inc.,Eau Claire,110,20200421,WR,5/28/2020,Computer Storage Device Mfg,Eau Claire,West Central
Visionworks,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse",97,20200422,CL,4/5/2020,Optical Goods Stores,"Eau Claire, Kenosha, La Crosse, Milwaukee, Ozaukee, Washington, Waukesha","Southeast, Milwaukee, WOW, West Central, Western"
Marquis Yachts,Pulaski,117,20200423,WR,6/26/2020,Boat Bldg,Brown,Bay Area
Van Galder Bus / Coach USA,Janesville,258,20200423,WR,3/14/2020,Interurban & Rural Bus Trans,Rock,Southwest
Hi-Crush Services,Whitehall,35,20200423,WR,3/30/2020,Ind Sand Mining,Trempealeau,Western
Hi-Crush Services,Taylor,32,20200423,WR,3/30/2020,Ind Sand Mining,Trempealeau,Western
Bed Bath & Beyond Inc.,Brookfield,55,20200424,WR,4/4/2020,All Other Home Furnishings Stores,Waukesha,WOW
Metals USA Carbon Flat Rolled Inc,Horicon,10,20200427,WR,4/23/2020,Metal Merch Whls,Dodge,South Central
Global Finishing Solutions,Osseo,94,20200427,WR,4/28/2020,Sheet Metal Work Mfg,Trempealeau,Western
Smart Sand Inc.,Tomah,55,20200428,WR,5/1/2020,Ind Sand Mining,Monroe,Western
The Hertz Corporation,Milwaukee,38,20200428,WR,4/14/2020,Passenger Car Rental,Milwaukee,Milwaukee
Footlocker.com/Eastbay,Wausau,1,20200428,WR,4/26/2020,Managing Offices,Marathon,North Central
Foot Locker,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",261,20200428,WR,4/26/2020,Shoe Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Waukesha","Bay Area, Milwaukee County, South Central, Southeast, WOW, Western"
