Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
APL Logistics Warehouse Management Services,Pleasant Prairie,86,20200827,CL,10/31/2020,General Warehouse & Storage,Kenosha,Southeast
"Avis Budget Car Rental, LLC","La Crosse, Milwaukee",10,20200828,WR,4/1/2020,Passenger Car Rental,"La Crosse, Milwaukee","Western, Milwaukee"
Fresh Thyme,Menomonee Falls,56,20200831,CL,9/17/2020,Supermarkets & Other Grocery Stores,Waukesha,WOW
Hyatt Place Madison,Madison,26,20200901,WR,3/15/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
"Frank Productions, LLC.",Madison,39,20200916,WR,9/20/2020,Promoters With Facilities,Dane,South Central
Sodexo,Milwaukee,73,20200917,WR,3/15/2020,Food Service Contractors,Milwaukee,Milwaukee
P.F. Chang's China Bistro,Wauwatosa,75,20200917,WR,9/17/2020,Full-service restaurants,Milwaukee,Milwaukee
P.F. Chang's China Bistro,Appleton,75,20200917,WR,9/17/2020,Full-service restaurants,Outagamie,Bay Area
"Bartolotta Restaurant Group, LLC",Milwaukee,268,20200921,WR,3/16/2020,Full-service restaurants,Milwaukee,Milwaukee
"Mondi Akrosil, LLC",Pleasant Prairie,92,20200925,CL,2/1/2021,Paper Bag & Coated & Treated Paper,Kenosha,Southeast
Advanced Pain Management LLC,"Appleton, Greenfield, Kenosha, Madison, Milwaukee, Mount Pleasant, Prairie du Sac, Sheboygan, West Bend",238,20200925,"CL, AW, LS",10/31/2020,Offices of Physicians exc Mental Health,"Dane, Kenosha, Milwaukee, Outagamie, Racine, Sauk, Washington","Bay Area, Milwaukee, South Central, Southeast, WOW"
IHG Management (Maryland) LLC,Wauwatosa,31,20201006,WR,11/30/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
W.M. Sprinkman,Waukesha,30,20201007,CL,12/4/2020,Metal Tank Heavy Gauge Mfg,Waukesha,WOW
Progressive Parking Solutions,Milwaukee,62,20201020,CL,11/30/2020,Parking Lots & Garages,Milwaukee,Milwaukee
Progressive Parking Solutions,Kenosha,2,20201020,CL,11/30/2020,Parking Lots & Garages,Kenosha,Southeast
Progressive Parking Solutions,Grafton,3,20201020,CL,11/30/2020,Parking Lots & Garages,Ozaukee,WOW
"Calibre, Inc.","Grafton, Saukville",204,20201028,CL,12/31/2020,Metal Coating & Nonprecious Engraving,Ozaukee,WOW
"Eau Claire Anesthesiologists, Ltd.",Eau Claire,54,20201029,CL,12/31/2020,Office of Physicians exc Mental Health,Eau Claire,West Central
"Maple Leaf Cheesemakers, Inc.",Monroe,31,20201029,CL,12/31/2020,Cheese Mfg,Green,Southwest
School Sisters of Notre Dame,Elm Grove,66,20201030,CL,12/31/2020,Elementary & Secondary Schools,Waukesha,WOW
Turnkey Processing Solutions/WP Operations LLC,Hixton,44,20201030,CL,12/31/2020,Construction Sand & Gravel Mining,Jackson,Western
Cardinal Logistics Management Corporation,Wisconsin Rapids,33,20201103,CL,12/31/2020,General Freight Trucking Long Distance,Wood,North Central
Mayo Clinic,La Crosse,5,20201106,WR,1/1/2021,N/A,La Crosse,Western
"Dairyland Buses, Inc. and Lakeside Buses, Inc.",Milwaukee,189,20201111,CL,11/3/2020,School & Employee Bus Trans,Milwaukee,Milwaukee
Fleet Farm,Appleton,42,20201113,CL,1/14/2021,All Other General Merchandise Stores,Outagamie,Bay Area
Sodexo at Martin University,Fond du Lac,24,20201116,WR,3/16/2020,Food Service Contractors,Fond Du Lac,Fox Valley
Valley Popcorn Co,Neenah,18,20201117,WR,11/16/2020,Confectionery Merch Whl,Winnebago,Fox Valley
Southwest Airlines,Milwaukee,18,20201118,WR,1/25/2021,Scheduled Passenger Air Trans,Milwaukee,Milwaukee
"Tex Mess, LLC, dba Eldorado Grill",Madison,20,20201119,WR,12/20/2020,Full service restaurants,Dane,South Central
EFS,Kenosha,10,20201208,CL,1/31/2021,General Freight Trucking Long Distance,Kenosha,Southeastern
Plymouth Tube Co USA,East Troy,11,20201228,WR,2/28/2021,Iron Steel Pipe & Tube from Purchased Steel,Walworth,Southeast
Courtyard Management Corporation,Brookfield,29,20201229,CL,3/1/2021,Hotels & Motels exc Casino Hotels,Waukesha,WOW
"Stresau Laboratory, Inc",Spooner,70,20210113,CL,2/24/2021,Ammunition exc Small Arms Mfg,Washburn,Northwest
The Master Lock Company,Milwaukee,61,20210120,WR,3/20/2021,Hardware Mfg,Milwaukee,Milwaukee
Durham School Services,Milwaukee,23,20210121,CL,3/13/2021,School & Employee Bus Trans,Milwaukee,Milwaukee
Ryder Integrated Logistics,Milwaukee,80,20210121,WR,3/31/2021,Packing & Crating,Milwaukee,Milwaukee
"Conagra Brands, Inc.",Milwaukee,190,20210125,CL,4/2/2021,Other Grocery Product Merch Whls,Milwaukee,Milwaukee
Air Wisconsin Airlines,Milwaukee,140,20210128,WR,4/1/2021,Other Support Activities for Air Trans,Milwaukee,Milwaukee
Stock and Field,Portage,39,20210129,CL,3/31/2021,Department Stores,Columbia,South Central
Wisconsin Physicians Services Insurance Corporation,"Rothschild, Monona",128,20210226,WR,5/3/2021,Direct Health & Medical Insurance Carriers,"Dane, Marathon","South Central, North Central"
Neillsville Care and Rehab,Neillsville,40,20210316,CL,3/16/2021,Nursing Care Facilities (Skilled Nursing),Clark,West Central
Wisconsin Central School Bus,New Richmond,48,20210318,CL,3/18/2021,School & Employee Bus Trans,St. Croix,West Central
Dairyland Power Cooperative,Genoa,63,20210325,CL,6/1/2021,Fossil Fuel Elect Power Generation,Vernon,Western
"Foot Locker Corporate Services, Inc.",Milwaukee,22,20210331,WR,5/30/2021,Family Clothing Stores,Milwaukee,Milwaukee
Deluxe Corporation,Wausau,43,20210401,CL,6/30/2021,Printing & Writing Paper Merch Whls,Marathon,North Central
"Cargill Cocoa and Chocolate, Inc.",Milwaukee,80,20210406,WR,6/5/2021,Chocolate & Confectionery Mfg from Cacao Bean,Milwaukee,Milwaukee
"Nestle USA, Inc.",Burlington,34,20210512,WR,7/23/2021,Confectionery Merch Whls,Racine,Southeast
Durr Universal,Muscoda,87,20210519,WR,8/31/2021,Misc General Purpose Machinery Mfg,Grant,Southwest
"Calibre, Inc.","Grafton, Saukville",204,20210601,CL,12/31/2020,Metal Coating & Nonprecious Engraving,Ozaukee,WOW
Hufcor Inc.,Janesville,166,20210602,WR,8/3/2021,Showcases Partitions Shelving & Lockers,Rock,Southwest
Clearwater Paper,Neenah,285,20210602,CL,7/2/2021,Paper exc Newsprint Mills,Winnebago,Fox Valley
Malteurop North America Inc.,Milwaukee,28,20210615,WR,8/15/2021,Malt Mfg,Milwaukee,Milwaukee
"Create-Ability, Inc.",Madison,61,20210629,CL,8/31/2021,Residential Intellectual and Developmental Disability Facilities,Dane,South Central
"Neenah, Inc.",Appleton,94,20210716,CL,9/15/2021,Paper exc Newsprint Mills,Outagamie,Bay Area
"Tyson Foods, operating as LD Foods/Keystone Foods",Jefferson,62,20210811,CL,10/10/2021,Seafood Product Preparation & Packaging,Jefferson,South Central
Eaton Corporation,Watertown,56,20210909,CL,11/8/2021,Relay & Ind Control Mfg,Jefferson,South Central
"The Vollrath Company, LLC",Menomonee Falls,51,20210928,CL,12/10/2021,Food Product Machinery Mfg,Waukesha,WOW
"Guardian Fabrication, LLC",Sun Prairie,82,20210930,CL,12/17/2021,Glass Product Mfg Made of Purchased Glass,Dane,South Central
Valero Services Inc.,Johnson Creek,61,20211004,WR,10/15/2021,Ethyl Alcohol Mfg,Jefferson,South Central
TMD Wisconsin LLC,Beloit,27,20211122,WR,1/23/2022,Motor Vehicle Seating & Interior Trim Mfg,Rock,Southwest
First Transit,Racine,81,20211129,CL,1/31/2022,Bus & Other Motor Vehicle Transit Systems,Racine,Southeast
Waupaca Elevator Co Inc,Appleton ,60,20211230,WR,2/28/2022,Private Households,Outagamie,Bay Area
"Briggs & Stratton, LLC","Richfield, Wauwatosa",56,20220128,"CL, WR",4/1/2022,Other Engine Equip Mfg,"Washington, Milwaukee","Milwaukee, WOW"
DHL Supply Chain,Chippewa Falls,72,20220128,CL,3/31/2022,General Freight Trucking Long Distance TL,Chippewa,West Central
"Moran Foods, LLC dba Save A Lot",Edgerton,30,20220131,CL,4/1/2022,General Line Grocery Merchant (except Convenience) Stores,Dane,South Central
"American Girl Brands, LLC.",Middleton,98,20220210,CL,4/18/2022,"Hobby, Toy, and Game Retailers",Dane,South Central
Kenosha Estates Nursing and Rehab,Kenosha,65,20220217,CL,4/15/2022,Nursing Care Facilities (Skilled Nursing),Kenosha,Southeast
Pehler and Sons Inc.,Arcadia,78,20220225,CL,4/27/2022,Other Specialized Trucking Local,Trempealeau,Western
The J.M. Smucker Company,Ripon,93,20220308,CL,12/30/2022,Perishable Prepared Food Mfg,Fond Du Lac,Fox Valley
Gannett,Milwaukee,181,20220315,CL,5/15/2022,Newspaper Publishers,Milwaukee,Milwaukee
"Georgia Pacific Consumer Operations, LLC",Green Bay,186,20220317,CL,5/16/2022,Managing Offices,Brown,Bay Area
Collins Aerospace,New Berlin,90,20220325,CL,5/27/2022,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Waukesha,WOW
"BCS Automotive Interface Solutions U.S., LLC",Galesville,57,20220428,CL,7/1/2022,Other Motor Vehicle Parts Mfg,Trempealeau,Western
Wiseway Transportation,Hudson,127,20220509,CL,7/15/2022,Freight Trans Arrangement,Saint Croix,West Central
"NDSM De Pere, LLC",De Pere,135,20220510,WR,7/9/2022,Automatic Environmental Control Manufacturing,Brown,Bay Area
Algoma Medical Center,Algoma,54,20220517,CL,7/1/2022,Nursing Care Facilities (Skilled Nursing),Kewaunee,Bay Area
Aacer Acquisitions,Peshtigo,126,20220526,CL,7/31/2022,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Marinette,Bay Area
Aramark at School District of Beloit,Beloit,63,20220531,CL,6/30/2022,Industrial Launderer,Rock,Southwest
"Asset Development Group, LLC","Menomonie, Neenah, Rice Lake, Pulaski, Brodhead, Lake Geneva, Appleton, Marinette, Forest Junction, Menasha, Chippewa Falls, Mosinee, Kewaunee, Onalaska, Lake Mills, Rice Lake, Lannon, Beaver Dam, Eden, Fond du Lac, Waupaca, Wisconsin Rapids, Markesan, Janesville, Fennimore, Fort Atkinson, Portage, Marquette, Plover, Reeseville, Amery, Kenosha, East Troy, Sullivan, Beloit, Oak Creek, Spencer",75,20220601,CL,8/1/2022,Lessors of Other Real Estate Property,"Dunn, Winnebago, Barron, Brown, Green, Walworth, Outagamie, Marinette, Calumet, Winnebago, Chippewa, Marathon, Kewaunee, La Crosse, Jefferson, Waukesha, Dodge, Fond du Lac, Wood, Green Lake, Rock, Grant, Waupaca, Portage, Marquette, Polk, Kenosha, Milwaukee","Southeast, Milwaukee, WOW, Fox Valley, Bay Area, North Central, West Central, Western, South Central, Southwest"
"NeuGen, LLC",Madison,110,20220601,WR,8/1/2022,Insurance Agencies & Brokerages,Dane,South Central
"DeBoer Transportation, Inc.",Sherry,59,20220614,CL,8/13/2022,General Freight Trucking Long Distance TL,Wood,North Central
Phillips-Medisize,Hudson,96,20220706,WR,7/12/2022,All Other Plastics Product Manufacturing,Saint Croix,West Central
"GXO Logistics Supply Chain, Inc.",Sturtevant,144,20220711,CL,9/10/2022,General Warehousing & Storage,Racine,Southeast
"CapTel, Inc.",Madison,28,20220720,WR,9/20/2022,Telephone Answering Services,Dane,South Central
"CapTel, Inc.",Milwaukee,245,20220720,WR,9/20/2022,Telephone Answering Services,Milwaukee,Milwaukee
Schawk USA Inc.,New Berlin,25,20220726,CL,9/30/2022,Support Activities for Printing,Waukesha,WOW
Neenah Foundry Company,Neenah,115,20220729,WR,9/27/2022,Iron Foundries,Winnebago,Fox Valley
Bay Fabrication Inc.,Green Bay,53,20220817,CL,10/15/2022,Mineral Wool Mfg.,Brown,Bay Area
Pentair Inc.,"Brookfield, Pewaukee",210,20220830,CL,11/1/2022,"Measuring, Dispensing & Oth Pumping Equip Mfg",Waukesha,WOW
"Biomat USA, Inc",Kenosha,33,20220908,CL,11/11/2022,Blood & Organ Banks,Kenosha,Southeast
"Biomat USA, Inc",Madison,47,20220908,CL,11/11/2022,Blood & Organ Banks,Dane,South Central
"Biomat USA, Inc",Milwaukee,34,20220908,CL,11/11/2022,Blood & Organ Banks,Milwaukee,Milwaukee
"Biomat USA, Inc",Milwaukee,31,20220908,CL,11/11/2022,Blood & Organ Banks,Milwaukee,Milwaukee
"Therma-Stor, LLC",Madison,93,20220921,CL,11/26/2022,AC Refrigeration & Forced Air Heating,Dane,South Central
Foremost Farms USA,"Athens, Plover",118,20220923,CL,12/1/2022,Cheese Mfg.,"Marathon, Portage",North Central
"Tru Aseptics, LLC",Beloit,75,20220930,WR,9/30/2022,Fruit & Vegetable Canning,Rock,Southwest
"Georgia-Pacific Corrugated II, LLC",Oshkosh,38,20221017,CL,10/17/2022,Corrugated & Solid Fiber Box Mfg,Winnebago,Fox Valley
"Foot Locker, Inc.",Wausau,210,20221018,CL,1/31/2023,General Warehousing & Storage,Marathon,North Central
Portage Plastics Corporation,Portage,71,20221101,CL,12/31/2022,Plastics Packaging Film & Sheet Mfg,Columbia,South Central
"Healics Wellness, Inc.",Milwaukee,81,20221106,CL,1/23/2023,Misc Ambulatory Health Care Services,Milwaukee,Milwaukee
"Diversey, Inc.",Watertown,60,20221117,WR,1/31/2023,Soap & Other Detergent Mfg,Jefferson,South Central
"Inlanta Mortgage, Inc.",Pewaukee,62,20221129,CL,11/29/2022,Consumer lending,Waukesha,WOW
"Sonoco Wisconsin Cores, LLC",Wisconsin Rapids,70,20221206,CL,03/31/2023,Paperboard Mills,Wood,North Central
"Toledo Molding & Die, Inc.",Beloit,52,20221216,WR,02/17/2023,Motor Vehicle Seating & Interior Trim Mfg,Rock,Southwest
GXO Logistics Supply Chain Inc.,Kenosha,123,20221214,CL,2/13/2023,General Warehousing & Storage,Kenosha,Southeast
"Hubbell Gas Utility Solutions, Inc.",New Berlin,106,20230104,CL,3/7/2023,Oil & Gas Pipeline Construction,Waukesha,WOW
"Monitronics International, Inc., d/b/a Brinks Home",Kenosha,1,20230105,WR,03/05/2023,Security Systems Services excluding Locksmiths,Kenosha,Southeast
"Piggly Wiggly, LLC",Milwaukee,52,20230117,CL,3/18/2023,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
ABM Industries Incorporated,Milwaukee,24,20230120,WR,01/21/2023,Janitorial Services,Milwaukee,Milwaukee
Multi-Color Corporation,Menomonee Falls,29,20230123,CL,04/01/2023,Commercial Printing (Except Screen and Books),Waukesha,WOW
"Foot Locker Corporate Services, Inc.",Oshkosh,97,20230123,CL,04/25/2023,Managing Offices,Winnebago,Fox Valley
"Briggs & Stratton, LLC",Wauwatosa,166,20230127,WR,03/31/2023,Motor & Generator Mfg,Milwaukee,Milwaukee
The Biery Cheese Company,Plover,104,20230201,CL,4/2/2023,Dairy Product Merch Whls,Portage,North Central
Marshfield Clinic Health System,Rice Lake,27,20230130,WR,3/31/2023,HMO Medical Centers,Barron,West Central
Marshfield Clinic Health System,Neillsville,12,20230130,WR,3/31/2023,HMO Medical Centers,Clark,West Central
Marshfield Clinic Health System,Marshfield,88,20230130,WR,3/31/2023,HMO Medical Centers,Wood,North Central
Marshfield Clinic Health System,Rhinelander,25,20230130,WR,3/31/2023,HMO Medical Centers,Oneida,North Central
Marshfield Clinic Health System,Minocqua,10,20230130,WR,3/31/2023,HMO Medical Centers,Oneida,North Central
Marshfield Clinic Health System,Ladysmith,37,20230130,WR,3/31/2023,HMO Medical Centers,Rusk,Northwest
Marshfield Clinic Health System,N/A,28,20230130,WR,3/31/2023,HMO Medical Centers,N/A,N/A
Marshfield Clinic Health System,Menomonie,29,20230130,WR,3/31/2023,HMO Medical Centers,Dunn,West Central
Marshfield Clinic Health System,Chippewa Falls,56,20230130,WR,3/31/2023,HMO Medical Centers,Chippewa,West Central
Marshfield Clinic Health System,Weston,3,20230130,WR,3/31/2023,HMO Medical Centers,Marathon,North Central
Marshfield Clinic Health System,Park Falls,19,20230130,WR,3/31/2023,HMO Medical Centers,Price,Northwest
Marshfield Clinic Health System,Medford,26,20230130,WR,3/31/2023,HMO Medical Centers,Taylor,Northwest
Marshfield Clinic Health System,Black River Falls,17,20230130,WR,3/31/2023,HMO Medical Centers,Jackson,Western
"Weir Slurry Group, Inc.",Madison,115,20230201,CL,12/31/2023,"Measuring, Dispensing & Other Pumping Equipment Mfg",Dane,South Central
CFS Brands,Elkhorn,32,20230209,WR,6/30/2023,All Other Misc. Mfg.,Walworth,Southeast
"Accelerated Clinical Labs, Inc.",Wauwatosa,67,20230215,WR,04/30/2023,Medical Laboratories,Milwaukee,Milwaukee
RGL Specialty Solutions,Green Bay,70,20230216,WR,04/26/2023,Process & Logistics Consulting Services,Brown,Bay Area
Marshfield Clinic Health System,Colby,1,20230301,WR,05/19/2023,HMO Medical Centers,Marathon,North Central
Marshfield Clinic Health System,Marshfield,60,20230301,WR,05/19/2023,HMO Medical Centers,Wood,North Central
Marshfield Clinic Health System,Minocqua,11,20230301,WR,05/19/2023,HMO Medical Centers,Oneida,North Central
Marshfield Clinic Health System,Rhinelander,1,20230301,WR,05/19/2023,HMO Medical Centers,Oneida,North Central
Marshfield Clinic Health System,Weston,14,20230301,WR,05/19/2023,HMO Medical Centers,Marathon,North Central
Marshfield Clinic Health System,Merrill,4,20230301,WR,05/19/2023,HMO Medical Centers,Lincoln,North Central
Marshfield Clinic Health System,Wausau,14,20230301,WR,05/19/2023,HMO Medical Centers,Marathon,North Central
Marshfield Clinic Health System,Stevens Point,1,20230301,WR,05/19/2023,HMO Medical Centers,Portage,North Central
Marshfield Clinic Health System,Stratford,1,20230301,WR,05/19/2023,HMO Medical Centers,Marathon,North Central
Marshfield Clinic Health System,Wisconsin Rapids,1,20230301,WR,05/19/2023,HMO Medical Centers,Wood,North Central
Marshfield Clinic Health System,Woodruff,1,20230301,WR,05/19/2023,HMO Medical Centers,Oneida,North Central
Marshfield Clinic Health System,Hayward,2,20230301,WR,05/19/2023,HMO Medical Centers,Sawyer,Northwest
Marshfield Clinic Health System,Ladysmith,8,20230301,WR,05/19/2023,HMO Medical Centers,Rusk,Northwest
Marshfield Clinic Health System,Park Falls,9,20230301,WR,05/19/2023,HMO Medical Centers,Price,Northwest
Marshfield Clinic Health System,Caddot,3,20230301,WR,05/19/2023,HMO Medical Centers,Chippewa,West Central
Marshfield Clinic Health System,Eau Claire,16,20230301,WR,05/19/2023,HMO Medical Centers,Eau Claire,West Central
Marshfield Clinic Health System,Chippewa Falls,5,20230301,WR,05/19/2023,HMO Medical Centers,Chippewa,West Central
Marshfield Clinic Health System,Rice Lake,13,20230301,WR,05/19/2023,HMO Medical Centers,Barron,West Central
Marshfield Clinic Health System,Neillsville,10,20230301,WR,05/19/2023,HMO Medical Centers,Clark,West Central
Marshfield Clinic Health System,Beaver Dam,47,20230301,WR,05/19/2023,HMO Medical Centers,Dodge,South Central
Hutchinson Technology Inc.,Eau Claire,237,20230306,WR,5/5/2023,Computer Storage Device Mfg,Eau Claire,West Central
WM Recycle America LLC,Germantown,9,20230306,WR,5/5/2023,Other Nonhazardous Waste Disposal,Washington,WOW
ABM Industries Incorporated,Milwaukee,37,20230313,WR,3/31/2023,Janitorial Services,Milwaukee,Milwaukee
Marriott GE Healthcare Institute,Waukesha,29,20230315,WR,5/17/2023,Hotels & Motels (except Casino Hotels),Waukesha,WOW
Yellow Corporation,Milwaukee,189,20230316,CL,5/28/2023,General Freight Trucking Long Distance TL,Milwaukee,Milwaukee
"Aspiration Partners, Inc.",N/A,3,20230324,CL,5/26/2023,999999 - Unclassified,N/A,N/A
MillerKnoll Inc.,Sheboygan,161,20230329,CL,5/23/2023,Furn Merch Whls,Sheboygan,Bay Area
David's Bridal,"Greenfield, Brookfield, Grand Chute, Madison, Ashwaubenon, Eau Claire",147,20230414,CL,6/12/2023,Other Clothing Stores,"Milwaukee, Waukesha, Outagamie, Dane, Brown, Eau Claire","Milwaukee, WOW, Bay Area, South Central, West Central"
Cardinal Stritch University Inc.,Milwaukee,489,20230421,CL,6/20/2023,Colleges & Universities,Milwaukee,Milwaukee
Elkay Interior Systems,Fond du Lac,77,20230501,CL,6/30/2023,Institutional Furniture Mfg,Fond du Lac,Fox Valley
Collins Aerospace,Peshtigo,100,20230522,CL,7/28/2023,Other Aircraft Parts & Equip,Marinette,Bay Area
Puris Proteins LLC,Turtle Lake,48,20230525,WR,06/02/23,Soybean & Other Oilseed Processing,Barron,West Central
Phillips-Medisize,Medford,83,20230606,CL,08/07/23,All Other Plastics Product Mfg.,Taylor,Northwest
"Bitwise Industries, Inc.",N/A,1,20230614,WR,6/14/2023,Data Processing Hosting & Related Services,N/A,Milwaukee
Hutchinson Technology Inc.,Eau Claire,50,20230619,WR,8/18/2023,Computer Storage Device Mfg.,Eau Claire,West Central
Badger Bus Lines Inc. ,Madison,200,20230619,WR,8/18/2023,School & Employee Bus Trans,Dane,South Central
Forman Mills Inc,Milwaukee,33,20230620,CL,08/03/2023,Family Clothing Stores,Milwaukee,Milwaukee
EatSteet Inc.,Madison,26,20230621,WR,8/21/2023,Food Service Contractors,Dane,South Central
Aramark Campus LLC,Fond du Lac & North Fond du Lac,86,20230622,WR,6/30/2023,Food Service Contractors,Fond du Lac,Fox Valley
WB Warehousing & Logistics Inc.,Wauwatosa,33,20230626,CL,9/2/2023,General Warehousing & Storage,Milwaukee,Milwaukee
Liberty Parts Team,Madison,20,20230526,CL,06/01/2023,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Dane,South Central
Community Development Institute Head Start,Ladysmith,14,20230630,WR,8/31/2023,Child & Youth Services,Rusk,Northwest
Community Development Institute Head Start,Hayward,6,20230630,WR,8/31/2023,Child & Youth Services,Sawyer,Northwest
Community Development Institute Head Start,Medford,5,20230630,WR,8/31/2023,Child & Youth Services,Taylor,Northwest
Community Development Institute Head Start,Siren,6,20230630,WR,8/31/2023,Child & Youth Services,Burnett,Northwest
Community Development Institute Head Start,Minong,2,20230630,WR,8/31/2023,Child & Youth Services,Washburn,Northwest
Community Development Institute Head Start,Spooner,8,20230630,WR,8/31/2023,Child & Youth Services,Washburn,Northwest
Community Development Institute Head Start,Dorchester,7,20230630,WR,8/31/2023,Child & Youth Services,Clark,West Central
SHINE Technologies LLC,Janesville,41,20230808,WR,8/8/2023,Other Basic Inorganic Chem Mfg,Rock,Southwest
SHINE Technologies LLC,Janesville,10,20230808,WR,8/8/2023,Other Basic Inorganic Chem Mfg,Rock,Southwest
SHINE Technologies LLC,Janesville,3,20230808,WR,8/8/2023,Other Basic Inorganic Chem Mfg,Rock,Southwest
SHINE Technologies LLC,Beloit,5,20230808,WR,8/8/2023,Other Basic Inorganic Chem Mfg,Rock,Southwest
Yellow Corporation,Madison,10,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Dane,South Central
Yellow Corporation,Eau Claire,9,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Chippewa,West Central
Yellow Corporation,Mosinee,24,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Marathon,North Central
Yellow Corporation,Neenah,86,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Winnebago,Fox Valley
Yellow Corporation,Oak Creek,85,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Milwaukee,Milwaukee
Yellow Corporation,Portage,1,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Columbia,South Central
Yellow Corporation,Tomah,45,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Monroe,Western
Yellow Corporation,Tomah,1,20230815,CL,7/30/2023,General Freight Trucking Long Distance TL,Monroe,Western
Master Lock Company,Milwaukee,325,20230817,CL,11/3/2023,Hardware Manufacturing,Milwaukee,Milwaukee
National Express Transit Corporation,"Milwaukee, Pewaukee, and Waukesha",140,20230901,WR,10/31/2023,Charter Bus Ind,"Milwaukee, Waukesha","Milwaukee, WOW"
"Catholic Charities, Diocese of Madison",Madison,59,20230906,WR,10/31/2023,Services for the Elderly & Disabled,Dane,South Central
"Lereta, LLC",Fond du Lac,28,20230905,WR,11/4/2023,Other Credit Intermediation Activities,Fond du Lac,Fox Valley
Regal Rexnord Corporation,Milwaukee,54,20230913,CL,11/15/2023,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",Milwaukee,Milwaukee
Leaf Home,Kaukauna,37,20230912,WR,11/11/2023,Residential Remodelers,Outagamie,Bay Area
Thriveworks Administrative Services LLC,N/A,1,20230915,WR,11/30/2023,999999 - Unclassified,N/A,Southeast
Superior Die Set Corp,Miwaukee,133,20230922,CL,11/20/2023,Special Tool Die Jig & Fixture Mfg,Milwaukee,Milwaukee
Energizer Manufacturing,Fennimore,172,20231002,CL,12/1/2023,Prime Battery Mfg,Grant,Southwest
"NorthStar Medical Radioisotopes, LLC",Beloit,65,20231005,WR,10/11/2023,Surgical & Medical Instrument Mfg,Rock,Southwest
"NorthStar Medical Radioisotopes, LLC",Madison,28,20231005,WR,10/11/2023,Other Basic Inorganic Chem Mfg,Dane,South Central
Strauss Brands & Logistics,Franklin,127,20231011,WR,12/10/2023,Animal exc Poultry Slaughtering,Milwaukee,Milwaukee
"Dowco, Inc.",Manitowoc,53,20231016,WR,12/11/2023,Textile Bag & Canvas Mills,Manitowoc,Bay Area
"Process Retail Group, Inc.",New Berlin,66,20231016,CL,11/30/2023,Sign Mfg,Waukesha,WOW
BMO Bank N.A.,Milwaukee,44,20231017,WR,12/31/2023,Commercial Banking,Milwaukee,Milwaukee
Premier Staffing Inc,Appleton,223,20231024,CL,12/23/2023,Temporary Help Services,Outagamie,Bay Area
Best Western Premier Waterfront Hotel,Oshkosh,33,20231103,CL,1/31/2024,Hotels & Motels (excluding Casino Hotels),Winnebago,Fox Valley
Saputo Cheese USA Inc.,Belmont,187,20231109,CL,11/11/2023,Cheese Mfg.,Lafayette,Southwest
GoodFellaz Pizza,Spring Green,5,20231114,CL,10/9/2023,Full-service restaurants,Sauk,South Central
Transcontinental Packaging,Tomah,90,20231122,CL,1/15/2024,Paper Bag & Coated & Treated Paper Mfg,Monroe,Western
ProHealth Care Inc,"Waukesha, Oconomowoc, Mukwonago, Brookfield, New Berlin, Delafield, Pewaukee, Watertown, Muskego, Waterford, Sussex, Hartland",835,20231128,WR,1/27/2024,"General Medical & Surgical Hospitals, Managing Offices, Offices of Physicians exc Mental Health","Waukesha, Jefferson, Racine","WOW, South Central, Southeast"
Xcel Energy Inc,Eau Claire,28,20231129,WR,2/1/2024,Other Technical Consulting Services,Eau Claire,West Central
"Dovenmuehle Mortgage, Inc.",Brookfield,17,20231214,WR,2/16/2024,Mortgage & Nonmortgage Loan Brokers,Waukesha,WOW
Energizer Holdings Inc.,Portage,135,20240105,CL,3/5/2024,Prime Battery Mfg,Columbia,South Central
STRATATECH CORP,Madison,35,20240109,WR,1/9/2024,"Research & Dvlp in the Physical, Engg, & Life",Dane,South Central
Lost Boys Interactive LLC,Madison,12,20240112,WR,3/15/2024,Custom Computer Programming Services,Dane,South Central
Credit Union National Association (DBA America's Credit Union) (CORRECTED),Madison,38,20240113,WR,3/15/2024,Credit Unions,Dane,South Central
Prevea Clinic Inc,"Altoona, Eau Claire, Augusta",140,20240122,"CL, WR",3/22/2024,Offices of Physicians exc Mental Health,Eau Claire,West Central
Prevea Clinic Inc,Phillips,2,20240122,WR,3/22/2024,Offices of Physicians exc Mental Health,Price,Northwest
Prevea Clinic Inc,"Chippewa Falls, Cornell",103,20240122,CL,3/22/2024,,Chippewa,West Central
Prevea Clinic Inc,Menomonie,27,20240122,"CL, WR",3/22/2024,Offices of Physicians exc Mental Health,Dunn,West Central
